Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name
2024 Ford Bronco Badlands,New,,"$60,720","Est. $1,141/mo",Webb Ford
2024 Ford Bronco Big Bend,New,,"$43,890",Est. $825/mo,Webb Ford
2024 Ford Bronco Badlands,New,,"$61,250","Est. $1,151/mo",Webb Ford
2024 Ford Bronco Badlands,New,,"$57,295","Est. $1,077/mo",Webb Ford
2024 Ford Bronco Big Bend,New,,"$50,895",Est. $957/mo,Webb Ford
2024 Ford Bronco Raptor,New,,"$89,995","Est. $1,692/mo",Webb Ford
2024 Ford Bronco Badlands,New,,"$60,290","Est. $1,133/mo",Webb Ford
2024 Ford Bronco Outer Banks,New,,"$50,495",Est. $949/mo,Webb Ford
2024 Ford Bronco Badlands,New,,"$58,485","Est. $1,099/mo",Webb Ford
2023 Volkswagen ID.4 AWD Pro S,Used,"9,498 mi.","$29,851",Est. $561/mo,Bill Jacobs VW
2023 Volkswagen ID.4 AWD Pro,Used,"7,770 mi.","$27,807",Est. $523/mo,Bill Jacobs VW
2024 Dodge Durango GT AWD,New,,"$45,410",Est. $854/mo,Midway Dodge
2025 Hyundai Santa Fe Limited,New,,"$42,543",Est. $800/mo,McGrath City Hyundai
2025 Hyundai Santa Fe SE,New,,"$38,110",Est. $716/mo,McGrath City Hyundai
2023 Mercedes-Benz AMG C 43,Used,"12,155 mi.","$57,998","Est. $1,090/mo",CarMax Memphis
2015 Jeep Renegade Sport,Used,"52,026 mi.","$10,999",Est. $207/mo,Hawk CDJR
2020 Land Rover Range Rover Velar P250 S R-Dynamic,Used,"23,246 mi.","$32,980",Est. $620/mo,Driven Auto Sales
2019 Audi Q3 Premium Plus,Used,"72,972 mi.","$22,998",Est. $432/mo,CarMax Oak Lawn
2024 Ford Bronco Badlands,New,,"$51,797",Est. $974/mo,Napleton Ford of Oak Lawn
2021 Kia Forte EX,Used,"24,555 mi.","$19,998",Est. $376/mo,CarMax Lynchburg
2019 Volvo XC60 T6 Inscription,Used,"41,094 mi.","$31,791",Est. $598/mo,Motorcars Express
2025 Chevrolet Equinox 1LT,New,,"$29,953",Est. $563/mo,Castle Chevrolet of Villa Park
2024 Ford Bronco Badlands,New,,"$65,249","Est. $1,226/mo",Roesch Ford
2020 Land Rover Range Rover Velar P250 S R-Dynamic,Used,"58,056 mi.","$33,888",Est. $637/mo,Chicago Auto Place
2015 BMW 535 i xDrive,Used,"118,403 mi.","$10,400",Est. $195/mo,Haus of Imports
2024 INFINITI QX60 Luxe,INFINITI Certified,"6,252 mi.","$46,900",Est. $882/mo,INFINITI of Orland Park A Zeigler Auto Group Company
2025 Audi RS 5 2.9T,New,,"$85,505","Est. $1,607/mo",The Audi Exchange
2023 Genesis GV60 Performance,Used,"5,121 mi.","$40,995",Est. $771/mo,Genesis of Highland Park
2024 Ford Bronco Badlands,New,,"$58,485","Est. $1,099/mo",Webb Ford
2024 Ford Bronco Wildtrak,New,,"$65,190","Est. $1,225/mo",Webb Ford
2024 Ford Bronco Black Diamond,New,,"$46,520",Est. $874/mo,Webb Ford
2023 Volkswagen ID.4 Pro S,Used,"4,130 mi.","$32,091",Est. $603/mo,Bill Jacobs VW
2023 RAM ProMaster 3500 High Roof,Used,"51,210 mi.","$37,995",Est. $714/mo,High Quality Auto Group
2025 Mercedes-Benz GLE-Class GLE 450,New,,"$83,035","Est. $1,561/mo",Loeber Motors Mercedes-Benz
2025 Nissan Rogue SV,New,,"$35,480",Est. $667/mo,Al Piemonte Nissan
2021 Audi A5 Sportback Premium Plus,Used,"20,268 mi.","$34,998",Est. $658/mo,CarMax Warner Robins
2018 Mazda Mazda3 Touring,Used,"105,870 mi.","$15,998",Est. $301/mo,CarMax Shreveport
2025 Jeep Grand Cherokee Limited X,New,,"$43,778",Est. $823/mo,Jack Phelan Chrysler Dodge Jeep RAM
2025 Jeep Grand Cherokee Laredo,New,,"$36,821",Est. $692/mo,Jack Phelan Chrysler Dodge Jeep RAM
2023 Ford F-150 XL,Used,"29,051 mi.","$39,995",Est. $752/mo,Westfield Ford
2022 Toyota Camry XSE,Used,"43,773 mi.","$26,995",Est. $507/mo,Larry Roesch Dodge Chrysler Jeep RAM
2023 BMW X1 xDrive28i,Used,"31,461 mi.","$29,985",Est. $564/mo,Jidd Motors Mitsubishi
2009 Mercedes-Benz SL-Class SL 63 AMG 2dr Convertible,Used,"124,200 mi.","$24,994",Est. $470/mo,MGM Classic Cars
2024 Ford Transit-250 Base,New,,"$48,346",Est. $909/mo,Tasca Ford Midlothian
2018 Cadillac ATS 2.0L Turbo Luxury,Used,"24,150 mi.","$15,950",Est. $300/mo,Chicago Motor Credit
2025 Genesis GV70 2.5T,New,,"$47,810",Est. $899/mo,Genesis of Schaumburg
2024 Ford Bronco Outer Banks,New,,"$54,328","Est. $1,021/mo",Schaumburg Ford
2024 Chevrolet Malibu FWD RS,Used,"20,407 mi.","$20,990",Est. $395/mo,City Volkswagen of Highland
2023 Ford F-150 XLT,Ford Certified,"21,617 mi.","$37,889",Est. $712/mo,Hawk Ford of Carol Stream
2020 Nissan Altima 2.5 S,Used,"80,191 mi.","$13,991",Est. $263/mo,Sutton Ford
2024 Subaru Crosstrek Wilderness,New,,"$36,566",Est. $687/mo,Napleton's Palatine Subaru
2024 Subaru Crosstrek Premium,New,,"$30,841",Est. $580/mo,Napleton's Palatine Subaru
2013 Honda Pilot EX-L,Used,"204,560 mi.","$7,677",Est. $144/mo,Castle Chrysler Dodge Jeep Ram of Naperville
2024 Ford Bronco Outer Banks,New,,"$59,315","Est. $1,115/mo",Fair Oaks Ford
2022 Audi S5 CERTIFIED Premium/ Convenience/ 19s,Audi Certified,"16,088 mi.","$46,444",Est. $873/mo,Fletcher Jones Audi
2025 Dodge Durango GT AWD,New,,"$45,985",Est. $864/mo,Midway Dodge
2023 Dodge Durango SXT RWD,Used,"44,059 mi.","$22,500",Est. $423/mo,Kingdom Chevrolet
2019 Volkswagen Arteon SEL,Used,"58,659 mi.","$23,998",Est. $451/mo,CarMax El Paso
2015 Chevrolet Impala Limited Police,Used,"48,567 mi.","$11,595",Est. $218/mo,Asia Motors Inc.
2023 Toyota Sienna XLE 8 Passenger,Used,"45,404 mi.","$39,695",Est. $746/mo,Countryside Mitsubishi
2021 Audi Q7 Premium Plus,Used,"32,995 mi.","$41,998",Est. $789/mo,CarMax Columbia
2024 Alfa Romeo Stelvio Veloce,New,,"$52,620",Est. $989/mo,Glenview Luxury Imports
2024 Toyota Sequoia Platinum,Used,134 mi.,"$81,500","Est. $1,532/mo",Bredemann Toyota/Scion
2025 Hyundai Santa Fe Calligraphy,New,,"$49,631",Est. $933/mo,Wilkins Hyundai
2024 Ford Bronco Outer Banks,New,,"$53,526","Est. $1,006/mo",Roesch Ford
2022 Lexus RX 350 Base,Used,"30,917 mi.","$44,995",Est. $846/mo,Lombard Toyota
2025 Alfa Romeo Tonale AWD,New,,"$42,625",Est. $801/mo,Joe Rizza Maserati Alfa Romeo
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$71,716","Est. $1,348/mo",Mercedes-Benz of Hoffman Estates
2025 Subaru Crosstrek Limited,New,,"$35,516",Est. $668/mo,Napleton's Palatine Subaru
2024 Subaru Crosstrek Premium,New,,"$30,841",Est. $580/mo,Napleton's Palatine Subaru
2024 Subaru Crosstrek Premium,New,,"$28,182",Est. $530/mo,Napleton's Palatine Subaru
2024 Subaru Crosstrek Premium,New,,"$30,844",Est. $580/mo,Napleton's Palatine Subaru
2024 Chevrolet Equinox LT,New,,"$30,885",Est. $581/mo,Phillips Chevrolet
2024 BMW M235 Gran Coupe i xDrive,New,,"$57,730","Est. $1,085/mo",Knauz Auto Park
2024 BMW X3 xDrive30i,BMW Certified,"1,753 mi.","$46,995",Est. $883/mo,Knauz Auto Park
2023 Lexus GX 460 Luxury,Used,"31,849 mi.","$63,890","Est. $1,201/mo",McGrath Lexus Chicago
2025 Honda CR-V LX AWD,Used,"1,856 mi.","$29,190",Est. $549/mo,McGrath City Honda
2025 Hyundai Elantra SEL Convenience,New,,"$26,670",Est. $501/mo,Wilkins Hyundai
2019 Ford Transit Connect XL,Used,"56,489 mi.","$25,998",Est. $489/mo,CarMax Myrtle Beach
2021 Lexus RX 350 Base,Used,"43,597 mi.","$36,795",Est. $692/mo,Jidd Motors Mitsubishi
2013 Chevrolet Tahoe LTZ,Used,"142,081 mi.","$13,999",Est. $263/mo,Your Choice Auto Sales of Posen
2022 RAM 1500 Laramie,Used,"34,125 mi.","$37,197",Est. $699/mo,Napleton River Oaks Hyundai Kia
2015 BMW 428 i xDrive,Used,"98,508 mi.","$13,983",Est. $263/mo,Star Motor Sales
2022 Honda Pilot Touring 8-Passenger,Used,"28,503 mi.","$33,799",Est. $635/mo,Bill Kay Downers Grove Nissan
2015 Honda Accord LX,Used,"59,985 mi.","$14,997",Est. $282/mo,INFINITI of Orland Park A Zeigler Auto Group Company
2025 Nissan Rogue SV,New,,"$33,549",Est. $631/mo,Glendale Nissan
2022 Chevrolet Corvette Stingray w/2LT,Used,"10,589 mi.","$67,989","Est. $1,278/mo",Gravity Autos Chicago
2019 Ford F-150 XLT,Used,"86,868 mi.","$23,495",Est. $442/mo,Napleton's Arlington Heights Chrysler Dodge Jeep RAM
2024 Ford Bronco Outer Banks,New,,"$58,379","Est. $1,097/mo",Arlington Heights Ford
2024 Ford Bronco Outer Banks,New,,"$54,140","Est. $1,018/mo",Arlington Heights Ford
2024 Ford Bronco Black Diamond,New,,"$50,318",Est. $946/mo,Arlington Heights Ford
2024 Ford Bronco Big Bend,New,,"$52,553",Est. $988/mo,Arlington Heights Ford
2019 Tesla Model 3 Standard Range,Used,"94,882 mi.","$16,999",Est. $320/mo,North Naperville Autos
2023 Chevrolet Suburban RST,Chevrolet Certified,"59,430 mi.","$54,397","Est. $1,022/mo",Phillips Chevrolet
2024 Ford Bronco Outer Banks,New,,"$50,683",Est. $953/mo,Haggerty Ford
2004 Toyota Camry LE,Used,"134,500 mi.","$5,800",Est. $109/mo,Muhammad
2023 Audi A3 Premium,Used,"15,686 mi.","$28,951",Est. $544/mo,Fletcher Jones Audi
2022 Audi A4 45 S line Premium Plus,Used,"54,628 mi.","$23,500",Est. $442/mo,Kingdom Chevrolet
2020 Jeep Grand Cherokee SRT,Used,"51,329 mi.","$49,379",Est. $928/mo,Mcgrath Evanston Subaru
2010 Lexus GX 460 Base,Used,"133,671 mi.","$14,290",Est. $269/mo,Webb Chevy
2019 Nissan Armada Platinum,Used,"74,116 mi.","$24,987",Est. $470/mo,Advantage Chevrolet of Bridgeview
2023 Ford Explorer XLT,Used,"39,795 mi.","$27,998",Est. $526/mo,CarMax Oak Lawn
2020 Nissan Murano SL,Used,"32,264 mi.","$24,998",Est. $470/mo,CarMax Myrtle Beach
2007 Toyota Tundra SR5,Used,"278,718 mi.","$8,895",Est. $167/mo,Access Automotive
2015 Jeep Grand Cherokee Laredo,Used,"122,557 mi.","$13,494",Est. $254/mo,Larry Roesch Dodge Chrysler Jeep RAM
2016 Ford F-150 XLT,Used,"80,110 mi.","$23,000",Est. $432/mo,Al Piemonte Buick GMC
2022 Tesla Model 3 Long Range,Used,"68,911 mi.","$20,995",Est. $395/mo,Highline Auto Sales
2020 Land Rover Range Rover 3.0L V6 Supercharged HSE,Used,"13,523 mi.","$56,888","Est. $1,069/mo",Chicago Auto Place
2022 Porsche Cayenne Platinum Edition,Used,"17,390 mi.","$73,895","Est. $1,389/mo",Jidd Motors Mitsubishi
2024 Land Rover Range Rover P530 Autobiography,Used,461 mi.,"$184,845","Est. $3,474/mo",Ogden Lincoln Of Westmont
2010 Ford Escape XLT,Used,"79,747 mi.","$7,945",Est. $149/mo,Top Gear Motors
2022 RAM 1500 Limited,Used,"50,273 mi.","$43,994",Est. $827/mo,Advantage Toyota of River Oaks
2011 Toyota Venza Base,Used,"157,299 mi.","$7,777",Est. $146/mo,Rt 34 Motorsports
2025 BMW X1 xDrive28i,New,,"$46,415",Est. $872/mo,BMW of Orland Park
2024 Ford Bronco Raptor,New,,"$89,995","Est. $1,692/mo",Webb Ford
2021 Chevrolet Tahoe LT,Used,"43,238 mi.","$51,295",Est. $964/mo,The Chevrolet Exchange
2024 Volkswagen Atlas Cross Sport 2.0T SEL,New,,"$44,360",Est. $834/mo,City Volkswagen of Chicago
2024 Ford Bronco Big Bend,New,,"$51,540",Est. $969/mo,Zeigler Ford of North Riverside
2023 Acura TLX Type S,Used,"15,346 mi.","$46,500",Est. $874/mo,Zeigler Cadillac of Lincolnwood
2019 Nissan Maxima Platinum,Used,"47,139 mi.","$24,998",Est. $470/mo,CarMax Pharr
2023 GMC Sierra 1500 Elevation,Certified,"19,468 mi.","$46,977",Est. $883/mo,Al Piemonte Ford
2019 Tesla Model 3 Standard Range Plus,Used,"52,423 mi.","$21,500",Est. $404/mo,Ed Napleton Honda
2021 Tesla Model 3 Standard Range Plus,Used,"48,937 mi.","$22,500",Est. $423/mo,Ed Napleton Honda
2023 Toyota Tundra 1794 Edition,Used,"40,030 mi.","$47,972",Est. $902/mo,Old Orchard Nissan
2025 Honda Odyssey Touring,New,,"$44,417",Est. $835/mo,Honda on Grand
2024 Toyota Corolla LE,Used,"22,544 mi.","$19,999",Est. $376/mo,Roesch Ford
2021 BMW M340 i xDrive,Used,"32,043 mi.","$45,000",Est. $846/mo,Napleton Porsche of Westmont
2003 Honda Civic LX,Used,"87,163 mi.","$5,950",Est. $112/mo,Revved Motors
2022 Tesla Model 3 Long Range,Used,"38,271 mi.","$26,986",Est. $507/mo,Star Motor Sales
2019 Chevrolet Silverado 1500 WT,Used,"99,024 mi.","$21,792",Est. $410/mo,Castle Chevrolet North
2015 Audi S5 2dr Cabriolet Premium Plus,Used,"78,846 mi.","$18,980",Est. $357/mo,Driven Auto of Oak Forest
2021 Chevrolet Malibu LT,Used,"61,164 mi.","$15,750",Est. $296/mo,Glendale Nissan
2018 Tesla Model 3 Long Range,Used,"58,538 mi.","$21,976",Est. $413/mo,Zeigler Chevrolet
2015 Honda Civic Si,Used,"109,782 mi.","$13,934",Est. $262/mo,Napleton's Schaumburg Subaru
2007 Toyota Tundra Base,Used,"139,460 mi.","$7,500",Est. $141/mo,Carvibe LLC
2024 Subaru Crosstrek Sport,New,,"$32,920",Est. $619/mo,Napleton's Palatine Subaru
2020 Ford F-150 XLT,Ford Certified,"75,693 mi.","$28,495",Est. $536/mo,Haggerty Ford
2024 Hyundai Elantra SEL,Used,"3,436 mi.","$21,874",Est. $411/mo,Napleton Downtown Chevrolet Buick GMC
2024 Ford Bronco Raptor,New,,"$90,905","Est. $1,709/mo",Murgado Ford of Chicago
2024 Ford Bronco Black Diamond,New,,"$45,349",Est. $852/mo,Murgado Ford of Chicago
2024 Buick Envista Sport Touring,Used,"3,959 mi.","$30,998",Est. $583/mo,CarMax Wichita
2024 Dodge Durango Citadel AWD,New,,"$55,265","Est. $1,039/mo",Midway Dodge
2021 Ford F-150 XL,Ford Certified,"30,263 mi.","$30,908",Est. $581/mo,Zeigler Ford of North Riverside
2015 Land Rover Range Rover Sport Supercharged,Used,"111,820 mi.","$17,600",Est. $331/mo,Capital Auto Finance
2011 Chevrolet Equinox 2LT,Used,"35,621 mi.","$10,995",Est. $207/mo,Moto Zone Inc.
2022 Kia K5 GT-Line,Used,"20,470 mi.","$26,998",Est. $507/mo,CarMax Stockton
2018 Ford Focus SE,Used,"25,403 mi.","$11,888",Est. $223/mo,Jennings Chevy / VW
2024 Mercedes-Benz GLE 350 Base 4MATIC,Used,"22,991 mi.","$52,998",Est. $996/mo,Jennings Chevy / VW
2021 Honda Pilot Special Edition,Used,"56,951 mi.","$29,992",Est. $564/mo,Honda on Grand
2015 Acura RDX Technology Package,Used,"75,814 mi.","$14,995",Est. $282/mo,Ali Luxury Motors
2017 Land Rover Range Rover 3.0L Supercharged HSE,Used,"55,120 mi.","$29,995",Est. $564/mo,Blue Sky Auto Sales - Crestwood
2017 Jeep Grand Cherokee SRT,Used,"49,428 mi.","$45,888",Est. $863/mo,Chicago Auto Place
2025 MINI Countryman Cooper ALL4,New,,"$41,580",Est. $782/mo,MINI of Glencoe North Shore
2023 Audi Q5 45 S line Premium Plus,Used,"36,820 mi.","$30,411",Est. $572/mo,94 Nissan Of South Holland
2025 Volkswagen Atlas Cross Sport 2.0T SEL Premium,New,,"$50,821",Est. $955/mo,Volkswagen of Palatine
2016 Bentley Continental GT V8 S,Used,"20,688 mi.","$95,645","Est. $1,798/mo",Autos of Chicago
2018 Volkswagen Tiguan 2.0T S 4MOTION,Used,"56,784 mi.","$14,995",Est. $282/mo,Auto Select
2024 Mercedes-Benz Sprinter 3500XD High Roof,New,,"$73,839","Est. $1,388/mo",Mercedes-Benz of Hoffman Estates
2013 Toyota Camry Hybrid LE,Used,"73,544 mi.","$14,500",Est. $273/mo,Car City Inc
2025 Lexus IS 350 F SPORT Design,New,,"$48,334",Est. $909/mo,McGrath Lexus Chicago
2024 Ford Bronco Black Diamond,New,,"$54,021","Est. $1,015/mo",Zeigler Ford of North Riverside
2020 Chevrolet Bolt EV FWD LT,Used,"46,130 mi.","$14,999",Est. $282/mo,Currie Motors Chevrolet
2023 Cadillac XT4 Premium Luxury,Used,"34,810 mi.","$28,998",Est. $545/mo,CarMax Wilmington
2024 Volkswagen Atlas 2.0T SE w/Technology 4MOTION,Used,"22,498 mi.","$34,000",Est. $639/mo,Al Piemonte Nissan
2024 Volkswagen Atlas 2.0T SE w/Technology 4MOTION,Used,"31,101 mi.","$33,900",Est. $637/mo,Al Piemonte Nissan
2024 Mazda CX-90 3.3 Turbo S,Used,"30,206 mi.","$29,900",Est. $562/mo,Al Piemonte Nissan
2019 Ford Edge Titanium,Used,"73,880 mi.","$17,998",Est. $338/mo,CarMax Warner Robins
2015 Honda Civic LX,Used,"107,429 mi.","$9,372",Est. $176/mo,Old Orchard Nissan
2013 Ford Focus SE,Used,"128,059 mi.","$4,999",,Premier Auto Works Inc
2021 Hyundai Palisade SE,Used,"86,454 mi.","$22,000",Est. $414/mo,Roesch Ford
2024 Mercedes-Benz E-Class E 350,Used,"9,288 mi.","$58,795","Est. $1,105/mo",Jidd Motors Mitsubishi
2018 Ford Transit-250 Base,Used,"26,943 mi.","$26,500",Est. $498/mo,Gmotorcars Commercial Truck
2024 Kia Forte GT-Line,Used,"25,413 mi.","$20,499",Est. $385/mo,Family Hyundai
2024 Ford Bronco Raptor,New,,"$86,011","Est. $1,617/mo",Joe Rizza Ford Lincoln
2024 BMW X4 M40i,Used,"5,100 mi.","$66,361","Est. $1,247/mo",Bill Kay Chevrolet
2021 Chevrolet Silverado 1500 LT,Chevrolet Certified,"31,266 mi.","$30,441",Est. $572/mo,Dick Wickstrom Chevrolet
2024 Chevrolet Trax FWD 2RS,Used,"6,029 mi.","$24,719",Est. $465/mo,Zeigler Chevrolet
2024 Subaru Crosstrek Limited,New,,"$33,314",Est. $626/mo,Napleton's Palatine Subaru
2024 Subaru Crosstrek Sport,New,,"$33,315",Est. $626/mo,Napleton's Palatine Subaru
2025 Chevrolet Equinox ACTIV,New,,"$34,075",Est. $640/mo,Phillips Chevrolet
2014 Chevrolet Cruze 1LT,Used,"88,418 mi.","$9,334",Est. $175/mo,Phillips Chevrolet
2019 RAM ProMaster 1500 Low Roof,,"120,030 mi.","$17,495",Est. $329/mo,Baha Auto of Cicero
2024 Ford Bronco Sport Free Wheeling,New,,"$37,270",Est. $701/mo,Al Piemonte Ford
2013 Land Rover LR2 HSE,Used,"106,456 mi.","$8,495",Est. $160/mo,Chicago Cars US
